time_seconds,voltage_mV
0.0000,-0.019828
0.0020,0.022087
0.0040,0.006522
0.0060,-0.018954
0.0080,0.007499
0.0100,0.010725
0.0120,-0.004738
0.0140,-0.002603
0.0160,0.004977
0.0180,0.006182
0.0200,0.042884
0.0220,-0.017143
0.0240,-0.020585
0.0260,0.020235
0.0280,0.016741
0.0300,-0.003615
0.0320,0.018504
0.0340,-0.007636
0.0360,0.002213
0.0380,-0.025455
0.0400,0.020923
0.0420,-0.005931
0.0440,0.003228
0.0460,-0.026269
0.0480,-0.003704
0.0500,0.013520
0.0520,0.035610
0.0540,0.022388
0.0560,0.034370
0.0580,-0.004511
0.0600,-0.000111
0.0620,0.014552
0.0640,0.012749
0.0660,-0.018074
0.0680,0.000236
0.0700,-0.004191
0.0720,-0.038157
0.0740,-0.025367
0.0760,0.006680
0.0780,-0.014353
0.0800,-0.003010
0.0820,-0.018577
0.0840,-0.003340
0.0860,0.027807
0.0880,0.019553
0.0900,0.042231
0.0920,-0.004292
0.0940,0.012948
0.0960,-0.033239
0.0980,-0.004208
0.1000,0.001184
0.1020,0.009582
0.1040,0.005087
0.1060,-0.012179
0.1080,0.014567
0.1100,0.014328
0.1120,0.004023
0.1140,0.034160
0.1160,-0.001732
0.1180,-0.016995
0.1200,0.017938
0.1220,-0.011187
0.1240,-0.028890
0.1260,0.000418
0.1280,-0.014509
0.1300,-0.008335
0.1320,0.026931
0.1340,0.012428
0.1360,-0.009396
0.1380,0.016104
0.1400,-0.021785
0.1420,0.001260
0.1440,0.056210
0.1460,0.005311
0.1480,0.004301
0.1500,-0.007607
0.1520,0.014829
0.1540,-0.002200
0.1560,-0.003849
0.1580,-0.017416
0.1600,-0.014672
0.1620,0.014089
0.1640,-0.007776
0.1660,0.013910
0.1680,-0.004038
0.1700,0.017109
0.1720,0.012447
0.1740,-0.013418
0.1760,0.018447
0.1780,0.011908
0.1800,0.012534
0.1820,0.001209
0.1840,0.069891
0.1860,-0.023748
0.1880,0.012185
0.1900,-0.016292
0.1920,-0.020690
0.1940,-0.006026
0.1960,-0.031811
0.1980,0.009383
0.2000,0.003336
0.2020,-0.020219
0.2040,0.002448
0.2060,-0.025416
0.2080,0.005590
0.2100,-0.026369
0.2120,0.040719
0.2140,0.012414
0.2160,-0.002829
0.2180,0.013465
0.2200,0.025077
0.2220,-0.010326
0.2240,-0.033040
0.2260,0.006320
0.2280,0.006177
0.2300,0.022681
0.2320,0.007789
0.2340,-0.009571
0.2360,0.050695
0.2380,0.024790
0.2400,0.026474
0.2420,0.031705
0.2440,0.054766
0.2460,0.062889
0.2480,0.070442
0.2500,0.093804
0.2520,0.100191
0.2540,0.124400
0.2560,0.145473
0.2580,0.153648
0.2600,0.151251
0.2620,0.143093
0.2640,0.142112
0.2660,0.135533
0.2680,0.093471
0.2700,0.109034
0.2720,0.084554
0.2740,0.079269
0.2760,0.023451
0.2780,0.023500
0.2800,-0.003542
0.2820,-0.022755
0.2840,0.026673
0.2860,0.024089
0.2880,-0.000533
0.2900,0.014954
0.2920,-0.028906
0.2940,-0.098943
0.2960,-0.139062
0.2980,-0.147202
0.3000,1.189875
0.3020,-0.226162
0.3040,-0.201091
0.3060,-0.104081
0.3080,-0.022735
0.3100,0.002887
0.3120,0.004888
0.3140,-0.022417
0.3160,-0.005372
0.3180,-0.025730
0.3200,-0.017193
0.3220,0.008351
0.3240,-0.017788
0.3260,-0.046875
0.3280,-0.004602
0.3300,0.005507
0.3320,-0.001551
0.3340,0.028523
0.3360,0.032494
0.3380,0.027576
0.3400,0.048001
0.3420,0.054019
0.3440,0.026923
0.3460,0.133647
0.3480,0.096784
0.3500,0.066957
0.3520,0.188586
0.3540,0.216811
0.3560,0.220126
0.3580,0.185559
0.3600,0.227714
0.3620,0.271061
0.3640,0.281313
0.3660,0.290537
0.3680,0.274869
0.3700,0.282995
0.3720,0.328163
0.3740,0.306534
0.3760,0.319954
0.3780,0.275692
0.3800,0.231060
0.3820,0.193030
0.3840,0.171721
0.3860,0.200881
0.3880,0.140314
0.3900,0.127969
0.3920,0.139947
0.3940,0.090882
0.3960,0.101530
0.3980,0.072934
0.4000,0.016226
0.4020,0.046142
0.4040,0.003628
0.4060,-0.031638
0.4080,-0.005829
0.4100,0.014959
0.4120,0.015337
0.4140,0.013878
0.4160,0.036765
0.4180,-0.000947
0.4200,0.019285
0.4220,0.004179
0.4240,-0.021559
0.4260,0.027925
0.4280,0.016110
0.4300,0.016780
0.4320,-0.007559
0.4340,-0.011189
0.4360,0.033172
0.4380,0.001505
0.4400,0.021293
0.4420,-0.023838
0.4440,-0.022345
0.4460,0.008742
0.4480,0.023147
0.4500,0.000814
0.4520,0.000065
0.4540,-0.007969
0.4560,0.009527
0.4580,-0.026662
0.4600,-0.010334
0.4620,0.016210
0.4640,0.040779
0.4660,-0.016185
0.4680,-0.007603
0.4700,0.027381
0.4720,-0.009913
0.4740,-0.001770
0.4760,-0.017107
0.4780,-0.023489
0.4800,-0.010283
0.4820,0.006841
0.4840,0.010440
0.4860,0.005124
0.4880,0.001781
0.4900,0.019432
0.4920,0.010511
0.4940,-0.006930
0.4960,-0.015991
0.4980,0.023919
0.5000,0.006322
0.5020,0.015094
0.5040,-0.001034
0.5060,-0.015148
0.5080,0.031058
0.5100,0.001878
0.5120,-0.033416
0.5140,0.016282
0.5160,-0.013926
0.5180,-0.012526
0.5200,-0.028876
0.5220,0.003814
0.5240,-0.007783
0.5260,0.008156
0.5280,0.002429
0.5300,0.002492
0.5320,-0.004237
0.5340,-0.002679
0.5360,-0.005497
0.5380,-0.020288
0.5400,0.033083
0.5420,0.008504
0.5440,-0.016408
0.5460,-0.014457
0.5480,0.012616
0.5500,-0.011645
0.5520,0.024695
0.5540,-0.002974
0.5560,0.018147
0.5580,-0.035895
0.5600,-0.036284
0.5620,-0.024561
0.5640,0.005658
0.5660,0.016874
0.5680,0.001253
0.5700,-0.005350
0.5720,-0.018416
0.5740,-0.010201
0.5760,-0.015052
0.5780,-0.003575
0.5800,-0.003826
0.5820,0.009569
0.5840,-0.000341
0.5860,0.019493
0.5880,-0.005525
0.5900,-0.022320
0.5920,0.014986
0.5940,-0.036906
0.5960,0.017330
0.5980,-0.021686
0.6000,0.000830
0.6020,-0.007777
0.6040,-0.016191
0.6060,-0.002175
0.6080,0.008000
0.6100,-0.003225
0.6120,-0.005860
0.6140,-0.007769
0.6160,-0.019235
0.6180,0.001089
0.6200,0.021340
0.6220,-0.018613
0.6240,0.001621
0.6260,0.011487
0.6280,0.015999
0.6300,0.030672
0.6320,-0.004361
0.6340,-0.028615
0.6360,-0.001128
0.6380,-0.003810
0.6400,0.022895
0.6420,-0.018024
0.6440,0.003958
0.6460,0.006295
0.6480,0.000166
0.6500,0.000359
0.6520,-0.007265
0.6540,0.032211
0.6560,-0.015399
0.6580,-0.035594
0.6600,0.004778
0.6620,-0.035201
0.6640,-0.014401
0.6660,0.017464
0.6680,0.006880
0.6700,0.001276
0.6720,0.029097
0.6740,0.007324
0.6760,0.003203
0.6780,0.010773
0.6800,-0.002805
0.6820,0.041305
0.6840,-0.001503
0.6860,-0.007983
0.6880,0.017303
0.6900,0.018559
0.6920,0.000422
0.6940,-0.021235
0.6960,-0.026274
0.6980,0.042094
0.7000,-0.021569
0.7020,0.014660
0.7040,0.012734
0.7060,-0.008679
0.7080,0.010721
0.7100,-0.041371
0.7120,-0.010665
0.7140,-0.020959
0.7160,0.011408
0.7180,-0.012350
0.7200,0.012263
0.7220,-0.015060
0.7240,0.000962
0.7260,-0.017283
0.7280,-0.042611
0.7300,0.003696
0.7320,-0.028997
0.7340,0.020098
0.7360,-0.022151
0.7380,-0.015461
0.7400,-0.032063
0.7420,0.017469
0.7440,0.008524
0.7460,0.026727
0.7480,0.012061
0.7500,0.028638
0.7520,-0.023409
0.7540,-0.015651
0.7560,-0.012352
0.7580,-0.014439
0.7600,-0.003717
0.7620,0.028762
0.7640,0.014257
0.7660,-0.008638
0.7680,0.023552
0.7700,-0.016200
0.7720,0.023917
0.7740,0.017318
0.7760,-0.010053
0.7780,-0.015689
0.7800,0.008421
0.7820,-0.033092
0.7840,0.024299
0.7860,0.028389
0.7880,-0.014391
0.7900,-0.023634
0.7920,0.007066
0.7940,-0.031134
0.7960,0.033138
0.7980,-0.020931
0.8000,-0.026070
0.8020,-0.017033
0.8040,0.010707
0.8060,0.015826
0.8080,-0.039875
0.8100,0.014278
0.8120,-0.001619
0.8140,0.029142
0.8160,-0.026907
0.8180,-0.037545
0.8200,0.026678
0.8220,-0.019156
0.8240,0.019441
0.8260,-0.035756
0.8280,-0.004674
0.8300,0.026780
0.8320,0.012677
0.8340,0.014913
0.8360,-0.025963
0.8380,-0.007519
0.8400,-0.009089
0.8420,-0.014410
0.8440,-0.004488
0.8460,0.009466
0.8480,-0.000470
0.8500,0.020770
0.8520,-0.001034
0.8540,-0.008199
0.8560,-0.008320
0.8580,0.004539
0.8600,0.001824
0.8620,-0.009048
0.8640,0.015467
0.8660,0.009806
0.8680,0.005907
0.8700,0.008418
0.8720,0.022908
0.8740,0.012496
0.8760,0.015231
0.8780,0.001368
0.8800,0.011277
0.8820,-0.061415
0.8840,-0.000962
0.8860,0.021968
0.8880,-0.002955
0.8900,-0.007403
0.8920,0.025925
0.8940,-0.021045
0.8960,0.042325
0.8980,0.032206
0.9000,-0.008374
0.9020,0.018266
0.9040,0.017625
0.9060,-0.000021
0.9080,-0.010823
0.9100,-0.042157
0.9120,0.001163
0.9140,0.015908
0.9160,-0.013371
0.9180,0.018751
0.9200,-0.026561
0.9220,0.009776
0.9240,0.042565
0.9260,-0.026360
0.9280,-0.034230
0.9300,0.007061
0.9320,0.063873
0.9340,-0.003245
0.9360,0.057151
0.9380,0.082595
0.9400,0.082325
0.9420,0.133811
0.9440,0.108791
0.9460,0.192631
0.9480,0.158631
0.9500,0.159833
0.9520,0.157983
0.9540,0.106187
0.9560,0.144601
0.9580,0.096049
0.9600,0.083854
0.9620,0.020924
0.9640,0.030328
0.9660,0.049885
0.9680,0.025597
0.9700,-0.008264
0.9720,-0.025603
0.9740,0.024070
0.9760,0.051705
